C3 under by_pred_subj — is the failure LAYOUT or CUTOFF?
   divisor   recall  perfect    cpu%
      4.00   0.6750    66/100    0.08
      2.00   0.0600     6/100    0.00
      3.00   0.3000    29/100    0.02
      4.00   0.6750    66/100    0.08
      6.00   0.8950    89/100    0.18
      8.00   0.9700    97/100    0.59
     12.00   0.9900    99/100    3.88
     16.00   1.0000   100/100    9.26
