pathmap atoms    keys= 1246 nodes=83210 child_items=84455 merkle_hash=0xcdff8af0a38b239c89b10da07ad72621 reused=61 cloned=3846 replaced=324
pathmap atoms    second merkleize: same_hash=true reused=61
--- atoms depth histogram (node depth, not byte depth) ---

	total_nodes	tot_child_cnt	avg_branch	max_child_items	dense_nodes	list_nodes
0	1		2		2.0000		2		0		1
1	0		0		NaN		0		0		0
2	2		14		7.0000		7		2		0
3	13		22		1.6923		5		1		12
4	6		6		1.0000		1		0		6
5	11		67		6.0909		21		4		7
6	67		121		1.8060		10		12		55
7	107		111		1.0374		2		0		107
8	95		99		1.0421		3		1		94
9	100		128		1.2800		21		2		98
10	126		266		2.1111		22		16		110
11	261		295		1.1303		3		7		254
12	288		388		1.3472		25		10		278
13	383		590		1.5405		16		42		341
14	576		634		1.1007		4		9		567
15	604		654		1.0828		10		9		595
16	641		657		1.0250		4		2		639
17	625		639		1.0224		3		1		624
18	630		646		1.0254		3		1		629
19	627		641		1.0223		4		3		624
20	625		636		1.0176		3		3		622
21	622		635		1.0209		6		1		621
22	625		663		1.0608		11		6		619
23	644		690		1.0714		12		11		633
24	676		697		1.0311		4		3		673
25	661		670		1.0136		3		2		659
26	660		672		1.0182		2		0		660
27	601		610		1.0150		4		1		600
28	580		592		1.0207		3		2		578
29	571		578		1.0123		2		0		571
30	570		604		1.0596		9		6		564
31	601		629		1.0466		6		4		597
32	608		613		1.0082		3		1		607
33	586		600		1.0239		5		3		583
34	636		652		1.0252		3		4		632
35	666		674		1.0120		3		1		665
36	670		688		1.0269		5		3		667
37	675		692		1.0252		3		2		673
38	681		690		1.0132		3		1		680
39	673		675		1.0030		2		0		673
40	658		666		1.0122		7		1		657
41	633		635		1.0032		2		0		633
42	606		607		1.0017		2		0		606
43	594		597		1.0051		2		0		594
44	592		601		1.0152		4		2		590
45	568		573		1.0088		2		0		568
46	532		536		1.0075		3		1		531
47	514		514		1.0000		1		0		514
48	466		469		1.0064		2		0		466
49	354		359		1.0141		5		1		353
50	338		343		1.0148		3		1		337
51	324		326		1.0062		2		0		324
52	334		335		1.0030		2		0		334
53	361		366		1.0139		2		0		361
54	356		360		1.0112		3		1		355
55	409		409		1.0000		1		0		409
56	507		508		1.0020		2		0		507
57	512		516		1.0078		2		0		512
58	506		515		1.0178		5		1		505
59	496		502		1.0121		4		2		494
60	485		487		1.0041		2		0		485
61	463		464		1.0022		2		0		463
62	465		466		1.0022		2		0		465
63	457		457		1.0000		1		0		457
64	456		456		1.0000		1		0		456
65	467		468		1.0021		2		0		467
66	459		460		1.0022		2		0		459
67	444		444		1.0000		1		0		444
68	437		437		1.0000		1		0		437
69	404		405		1.0025		2		0		404
70	396		398		1.0051		2		0		396
71	389		391		1.0051		3		1		388
72	380		380		1.0000		1		0		380
73	382		383		1.0026		2		0		382
74	380		380		1.0000		1		0		380
75	370		371		1.0027		2		0		370
76	398		401		1.0075		3		1		397
77	402		402		1.0000		1		0		402
78	405		405		1.0000		1		0		405
79	404		404		1.0000		1		0		404
80	402		403		1.0025		2		0		402
81	398		400		1.0050		3		1		397
82	391		391		1.0000		1		0		391
83	384		386		1.0052		2		0		384
84	375		375		1.0000		1		0		375
85	366		366		1.0000		1		0		366
86	362		362		1.0000		1		0		362
87	360		360		1.0000		1		0		360
88	353		354		1.0028		2		0		353
89	351		351		1.0000		1		0		351
90	298		298		1.0000		1		0		298
91	204		204		1.0000		1		0		204
92	189		189		1.0000		1		0		189
93	178		178		1.0000		1		0		178
94	176		176		1.0000		1		0		176
95	175		175		1.0000		1		0		175
96	175		175		1.0000		1		0		175
97	225		225		1.0000		1		0		225
98	321		321		1.0000		1		0		321
99	330		330		1.0000		1		0		330
100	330		330		1.0000		1		0		330
101	320		320		1.0000		1		0		320
102	319		319		1.0000		1		0		319
103	316		316		1.0000		1		0		316
104	317		317		1.0000		1		0		317
105	317		317		1.0000		1		0		317
106	319		319		1.0000		1		0		319
107	324		324		1.0000		1		0		324
108	323		323		1.0000		1		0		323
109	320		320		1.0000		1		0		320
110	316		316		1.0000		1		0		316
111	293		293		1.0000		1		0		293
112	280		280		1.0000		1		0		280
113	274		274		1.0000		1		0		274
114	273		273		1.0000		1		0		273
115	276		276		1.0000		1		0		276
116	274		274		1.0000		1		0		274
117	270		270		1.0000		1		0		270
118	292		292		1.0000		1		0		292
119	301		301		1.0000		1		0		301
120	304		304		1.0000		1		0		304
121	299		299		1.0000		1		0		299
122	295		295		1.0000		1		0		295
123	293		293		1.0000		1		0		293
124	291		291		1.0000		1		0		291
125	283		283		1.0000		1		0		283
126	275		275		1.0000		1		0		275
127	270		270		1.0000		1		0		270
128	269		269		1.0000		1		0		269
129	268		268		1.0000		1		0		268
130	265		265		1.0000		1		0		265
131	262		262		1.0000		1		0		262
132	216		216		1.0000		1		0		216
133	136		136		1.0000		1		0		136
134	121		121		1.0000		1		0		121
135	116		116		1.0000		1		0		116
136	117		117		1.0000		1		0		117
137	117		117		1.0000		1		0		117
138	119		119		1.0000		1		0		119
139	161		161		1.0000		1		0		161
140	239		239		1.0000		1		0		239
141	252		252		1.0000		1		0		252
142	247		247		1.0000		1		0		247
143	243		243		1.0000		1		0		243
144	243		243		1.0000		1		0		243
145	245		245		1.0000		1		0		245
146	246		246		1.0000		1		0		246
147	243		243		1.0000		1		0		243
148	246		246		1.0000		1		0		246
149	252		252		1.0000		1		0		252
150	250		250		1.0000		1		0		250
151	250		250		1.0000		1		0		250
152	247		247		1.0000		1		0		247
153	224		224		1.0000		1		0		224
154	213		213		1.0000		1		0		213
155	208		208		1.0000		1		0		208
156	208		208		1.0000		1		0		208
157	209		209		1.0000		1		0		209
158	208		208		1.0000		1		0		208
159	206		206		1.0000		1		0		206
160	226		226		1.0000		1		0		226
161	234		234		1.0000		1		0		234
162	236		236		1.0000		1		0		236
163	234		234		1.0000		1		0		234
164	231		231		1.0000		1		0		231
165	232		232		1.0000		1		0		232
166	225		225		1.0000		1		0		225
167	223		223		1.0000		1		0		223
168	217		217		1.0000		1		0		217
169	210		210		1.0000		1		0		210
170	209		209		1.0000		1		0		209
171	207		207		1.0000		1		0		207
172	205		205		1.0000		1		0		205
173	203		203		1.0000		1		0		203
174	163		163		1.0000		1		0		163
