corpus 272115 triples, train 190480, preds 237
60 rules: 30 by support + 30 by confidence within [30, 40000], 0 overlapping

  [support] ( 30, 47)=>116  n  33392  conf 0.0010  closed 0.0002  head-shuf 0.0002+-0.0001  whole-shuf 0.0002
  [support] ( 30, 47)=>74   n  33392  conf 0.0005  closed 0.0002  head-shuf 0.0002+-0.0001  whole-shuf 0.0000
  [support] ( 30, 47)=>201  n  33392  conf 0.0003  closed 0.0001  head-shuf 0.0001+-0.0000  whole-shuf 0.0000
  [support] ( 30, 47)=>186  n  33392  conf 0.0003  closed 0.0001  head-shuf 0.0001+-0.0001  whole-shuf 0.0000
  [conf   ] (106,206)=>34   n     31  conf 0.7097  closed 0.4381  head-shuf 0.6858+-0.0259  whole-shuf 0.5296
  [conf   ] (218,219)=>139  n     32  conf 0.6875  closed 0.4292  head-shuf 0.6469+-0.0364  whole-shuf 0.5876
  [conf   ] (218,234)=>219  n     37  conf 0.6486  closed 0.4053  head-shuf 0.6314+-0.0187  whole-shuf 0.6131
  [conf   ] (218,206)=>219  n     33  conf 0.6364  closed 0.3976  head-shuf 0.6200+-0.0196  whole-shuf 0.6189
  [conf   ] (106,139)=>34   n     32  conf 0.6250  closed 0.3858  head-shuf 0.6019+-0.0266  whole-shuf 0.4880
  [conf   ] (121,  4)=>5    n    114  conf 0.6228  closed 0.4536  head-shuf 0.4986+-0.0239  whole-shuf 0.4980
  [conf   ] (218,234)=>139  n     37  conf 0.6216  closed 0.3873  head-shuf 0.5838+-0.0354  whole-shuf 0.5943
  [conf   ] ( 15, 16)=>133  n     50  conf 0.6200  closed 0.2396  head-shuf 0.2992+-0.0551  whole-shuf 0.1375
  [conf   ] ( 10,210)=>182  n    154  conf 0.6169  closed 0.2132  head-shuf 0.2684+-0.0248  whole-shuf 0.0957
  [conf   ] (155, 60)=>34   n     31  conf 0.6129  closed 0.3784  head-shuf 0.5884+-0.0273  whole-shuf 0.4407
  [conf   ] ( 84, 60)=>34   n    116  conf 0.6121  closed 0.3778  head-shuf 0.5876+-0.0121  whole-shuf 0.4777
  [conf   ] (218,139)=>219  n     46  conf 0.6087  closed 0.3803  head-shuf 0.5930+-0.0152  whole-shuf 0.5290
  [conf   ] (218,206)=>139  n     33  conf 0.6061  closed 0.3800  head-shuf 0.5752+-0.0370  whole-shuf 0.5995
  [conf   ] ( 86, 16)=>28   n     60  conf 0.6000  closed 0.3040  head-shuf 0.3900+-0.0471  whole-shuf 0.3935
  [conf   ] (157, 73)=>171  n     93  conf 0.5914  closed 0.4248  head-shuf 0.4897+-0.0262  whole-shuf 0.5031
  [conf   ] ( 87, 62)=>15   n     30  conf 0.5667  closed 0.0837  head-shuf 0.0780+-0.0474  whole-shuf 0.0998
  [conf   ] (106,219)=>34   n     76  conf 0.5658  closed 0.3493  head-shuf 0.5453+-0.0173  whole-shuf 0.5022
  [conf   ] (201, 48)=>185  n     48  conf 0.5625  closed 0.2954  head-shuf 0.4050+-0.0438  whole-shuf 0.2653
  [conf   ] (145,185)=>48   n    122  conf 0.5574  closed 0.2535  head-shuf 0.3326+-0.0373  whole-shuf 0.2445
  [conf   ] (162,185)=>48   n     83  conf 0.5542  closed 0.2589  head-shuf 0.3330+-0.0398  whole-shuf 0.2682
  [conf   ] (136, 60)=>34   n     65  conf 0.5538  closed 0.3419  head-shuf 0.5351+-0.0165  whole-shuf 0.4143
  [conf   ] (121,  5)=>4    n    112  conf 0.5536  closed 0.4032  head-shuf 0.4425+-0.0227  whole-shuf 0.4437
  [conf   ] (152,206)=>234  n     49  conf 0.5510  closed 0.3483  head-shuf 0.5510+-0.0000  whole-shuf 0.3924
  [conf   ] ( 24,133)=>48   n    772  conf 0.5505  closed 0.2059  head-shuf 0.2734+-0.0102  whole-shuf 0.1969
  [conf   ] ( 23,129)=>166  n     31  conf 0.5484  closed 0.2830  head-shuf 0.3929+-0.0559  whole-shuf 0.0216
  [conf   ] (127,135)=>133  n    104  conf 0.5481  closed 0.1623  head-shuf 0.2031+-0.0279  whole-shuf 0.0423
  [conf   ] ( 58,234)=>139  n    138  conf 0.5435  closed 0.3245  head-shuf 0.4943+-0.0133  whole-shuf 0.1446
  [conf   ] (  5,178)=>4    n   2332  conf 0.5369  closed 0.4012  head-shuf 0.4423+-0.0055  whole-shuf 0.0449
